Timestamp,Function,Best_Fitness,w,c1,c2
2026-04-07 09:10:59,sphere,2.097222860624836e-33,0.4,1.0,1.0
2026-04-07 09:10:59,rastrigin,2.522426711948356e-13,0.65,1.0,1.0
2026-04-07 09:10:59,rosenbrock,0.003527089260139,0.65,1.0,3.0
2026-04-07 09:10:59,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-04-07 10:06:13,sphere,10.918437244128198,0.4,3.0,1.0
2026-04-07 10:06:13,rastrigin,132.5651312474145,0.4,1.0,1.0
2026-04-07 10:06:13,rosenbrock,444.0604459660032,0.65,1.0,1.0
2026-04-07 10:06:13,ackley,2.976413894183214,0.4,3.0,1.0
2026-04-27 16:55:13,sphere,5.083571206025123,0.65,1.0,1.0
2026-04-27 16:55:13,rastrigin,121.02014824892171,0.4,1.0,1.0
2026-04-27 16:55:13,rosenbrock,455.7818192627995,0.65,1.0,1.0
2026-04-27 16:55:13,ackley,3.213553415361315,0.4,3.0,1.0
2026-04-27 16:56:17,sphere,6.016932281571993,0.65,1.0,1.0
2026-04-27 16:56:17,rastrigin,125.2973016166228,0.65,1.0,1.0
2026-04-27 16:56:17,rosenbrock,938.1587172353128,0.4,3.0,1.0
2026-04-27 16:56:17,ackley,4.080770242059948,0.4,3.0,1.0
2026-04-27 19:13:17,sphere,5.544270806585228,0.65,1.0,1.0
2026-04-27 19:13:17,rastrigin,115.52843290623665,0.65,1.0,1.0
2026-04-27 19:13:17,rosenbrock,515.7934040298115,0.4,3.0,1.0
2026-04-27 19:13:17,ackley,2.44524625384479,0.4,3.0,1.0
2026-04-27 19:13:51,sphere,7.125893589758965,0.65,1.0,1.0
2026-04-27 19:13:51,rastrigin,135.28766041762893,0.65,1.0,1.0
2026-04-27 19:13:51,rosenbrock,472.87320921497496,0.65,1.0,1.0
2026-04-27 19:13:51,ackley,3.1482565855660387,0.4,3.0,1.0
2026-04-27 19:14:24,sphere,4.61215936468398,0.4,3.0,1.0
2026-04-27 19:14:24,rastrigin,84.49577618957062,0.65,1.0,1.0
2026-04-27 19:14:24,rosenbrock,794.2411595673041,0.4,3.0,1.0
2026-04-27 19:14:24,ackley,2.8900490341941034,0.4,3.0,1.0
2026-04-27 19:14:52,sphere,2.6049691876558083,0.65,1.0,1.0
2026-04-27 19:14:52,rastrigin,153.22484093879908,0.4,3.0,1.0
2026-04-27 19:14:52,rosenbrock,544.4654836225809,0.4,3.0,1.0
2026-04-27 19:14:52,ackley,2.241334605598287,0.4,3.0,1.0
2026-04-27 19:19:50,sphere,11.62017003989694,0.9,1.0,1.0
2026-04-27 19:19:50,rastrigin,140.78095393526573,0.4,3.0,1.0
2026-04-27 19:19:50,rosenbrock,537.5219918781469,0.65,1.0,1.0
2026-04-27 19:19:50,ackley,3.651915299329858,0.4,3.0,1.0
2026-04-27 19:22:44,sphere,7.040381362741532,0.65,1.0,1.0
2026-04-27 19:22:44,rastrigin,119.79749787749871,0.65,1.0,1.0
